Skill,Description,Category,Work in Bitbucket?,Mapping Type,File Extension,Ambiguous?,Ambiguity Resolver,Legacy/Contemporary,Reason,Comments
Cyara - User Experience Testing,Platform for automated CX and IVR testing across channels.,Tool (Testing),Partial,Inferred,".xml, .json",Yes,Detect Cyara-specific API references or configs.,Contemporary,Used in call center and CX validation.,Proprietary validation relies on configs.
Data modelling and architecture,Practice of designing and structuring data systems for optimal storage and retrieval.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Foundational in data engineering practices.,Cannot be validated in code.
Data Stax Drivers,Client drivers for Cassandra and other distributed databases from DataStax.,Technology (Database Driver),Yes,Direct,".java, .py",Yes,Detect imports like com.datastax or specific driver versions.,Contemporary,Used in Cassandra and NoSQL environments.,Validation through library dependencies.
Datalink (Vendor - Datalink),Data integration and backup solutions by Datalink vendor.,Technology (Data Integration),Partial,Inferred,".xml, .json",Yes,Detect Datalink configs or API calls.,Legacy,Rare in modern architectures.,Validation is challenging without configs.
DataStage,IBM ETL tool for large-scale data integration and transformation.,Tool (ETL),Yes,Direct,.dsx,No,Presence of DataStage export files (.dsx).,Contemporary,Still widely used in enterprise ETL processes.,Validation through exported job files.
DevOps,Culture and practices integrating development and operations for continuous delivery.,Concept,Partial,Inferred,".yaml, .groovy, .json",Yes,"Look for CI/CD configs (Jenkinsfile, GitHub Actions, pipelines).",Contemporary,Core to modern software delivery.,Detection through pipeline files and automation scripts.
Drools,Business Rules Management System (BRMS) for Java-based rule execution.,Technology (Rules Engine),Yes,Direct,".drl, .java",No,Look for Drools-specific files (.drl) and org.drools imports.,Contemporary,Widely used in decision automation systems.,Detection straightforward with .drl files.
Dynatrace - Performance Engineering Analysis,APM tool for monitoring and analyzing performance in distributed systems.,Tool (APM),Partial,Inferred,".yaml, .json",Yes,Detect Dynatrace agent configs or SDK imports.,Contemporary,Popular for application performance optimization.,Validation via configs or deployment files.
EASYTRIEVE +,Programming language for report generation and data manipulation on mainframes.,Technology (Mainframe),Yes,Direct,.ezr,No,Presence of EASYTRIEVE syntax in .ezr files.,Legacy,Still in use in legacy mainframe environments.,Detection via unique language syntax.
EMC Captiva,Document capture and imaging solution for digitizing content.,Tool (Content Management),Partial,Inferred,".xml, .cfg",Yes,Detect Captiva configs and process definitions.,Legacy,Superseded by modern capture platforms.,Detection relies on proprietary configs.
EMC Documentum,Enterprise content management platform for storing and managing documents.,Technology (ECM),Partial,Inferred,".xml, .cfg",Yes,Detect Documentum-specific DQL queries or configs.,Legacy,Declining adoption; many migrations to modern CMS.,Detection via integration code.
Essbase,Multidimensional database for OLAP (Online Analytical Processing).,Technology (Analytics),Partial,Inferred,".rul, .csc",Yes,Look for Essbase rule files or calc scripts.,Legacy,Still present in some finance systems.,Detection via proprietary file types.
Ext JS,JavaScript framework for building interactive web apps with rich UI.,Framework (Web),Yes,Direct,.js,Yes,Detect Ext.create or Ext.define syntax.,Contemporary,Used in enterprise web apps.,Detection possible through JS code analysis.
Fidelity Touchpoint,Platform for client engagement and digital experience in financial services.,Technology (Financial Platform),Partial,Inferred,".xml, .json",Yes,Detect Touchpoint-specific APIs or integration configs.,Contemporary,Specialized for financial institutions.,Proprietary detection through configs.
Fidessa,"Trading platform for equities, derivatives, and fixed income markets.",Technology (Trading System),Partial,Inferred,".xml, .json",Yes,Detect Fidessa integration configs or API calls.,Contemporary,Common in capital markets.,Proprietary; detection via integration scripts.
Filenet,IBM enterprise content management platform for document management.,Technology (ECM),Partial,Inferred,".xml, .cfg",Yes,Detect Filenet-specific process configs or APIs.,Legacy,Being replaced by modern ECM systems.,Detection through proprietary configurations.
Financial Transaction Manager,IBM solution for payment processing and financial transaction management.,Technology (Financial Software),Partial,Inferred,".xml, .cfg",Yes,Detect FTM-specific integration configs and flows.,Contemporary,Still relevant in payment ecosystems.,Detection depends on proprietary configs.
Finastra - Global Cash Plus,Cash management solution by Finastra for corporate banking.,Technology (Banking Software),Partial,Inferred,".xml, .json",Yes,Detect configs referencing GCP APIs or schema.,Contemporary,Actively used in transaction banking.,Proprietary; detection via integration files.
Finastra - Global Pay Plus,Payment hub platform for high-value payments and compliance.,Technology (Banking Software),Partial,Inferred,".xml, .json",Yes,Detect specific integration schemas for GPP.,Contemporary,Popular in payment operations.,Validation through proprietary configs.
Finastra LoanIQ,Loan servicing and syndication management software.,Technology (Banking Software),Partial,Inferred,".xml, .json",Yes,Detect LoanIQ-specific integration configs or API calls.,Contemporary,Common in wholesale lending.,Detection depends on proprietary integration scripts.
Finastra TI Plus,Trade finance platform from Finastra.,Technology (Banking Software),Partial,Inferred,".xml, .json",Yes,Detect TI Plus schemas or adapter configs.,Contemporary,Used for trade finance globally.,Validation relies on integration layers.
Firewall Administration,Practice of configuring and managing network firewalls for security.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Core to enterprise security posture.,Not code-detectable; role/process-based.
Fiserv Recon/Frontier,Reconciliation and financial controls software from Fiserv.,Technology (Finance),Partial,Inferred,".xml, .json",Yes,Detect Recon/Frontier integration configs.,Contemporary,Common in reconciliation processes.,Detection via configs and scripts.
Fitnesse,Open-source testing tool for acceptance testing and wiki-based documentation.,Tool (Testing),Yes,Direct,".txt, .wiki",Yes,Detect Fitnesse wiki syntax and test tables.,Contemporary,Useful for Agile test-driven development.,Detection via wiki-format test files.
FIX - Financial Information Exchange,Messaging protocol for real-time exchange of securities transactions.,Technology (Protocol),Yes,Direct,".cfg, .xml",Yes,Detect FIX tags like 8=FIX or FIX.4.2 in messages.,Contemporary,Standard for trading communication.,Detection via log messages or configs.
Focus,Legacy reporting tool for mainframe and distributed environments.,Tool (Reporting),Yes,Direct,.fex,No,Detect Focus syntax in .fex files.,Legacy,Replaced by modern BI/reporting tools.,Detection is easy via .fex extensions.
Fujitsu iFlow,Integration platform for enterprise application connectivity and data flows.,Technology (Integration),Partial,Inferred,".xml, .cfg",Yes,Detect Fujitsu iFlow configs and adapter references.,Legacy,Limited usage in modern architectures.,Detection relies on proprietary configs.
Fujitsu Interstage,"Middleware platform for BPM, SOA, and enterprise integration.",Technology (Middleware),Partial,Inferred,".xml, .bpel",Yes,Detect Interstage-specific BPEL process definitions.,Legacy,Declining usage; replaced by newer BPM/ESB solutions.,Validation through BPEL workflows.
Gasper,ATM monitoring and management solution used in banking environments.,Technology (Banking Software),Partial,Inferred,".cfg, .xml",Yes,Detect configs referencing Gasper services.,Legacy,Specialized tool with limited modern relevance.,Proprietary; detection via integration scripts.
Genesys IVR,Platform for building and managing IVR solutions integrated with contact centers.,Technology (Telecom),Partial,Inferred,".vxml, .cfg",Yes,Detect VXML files and Genesys-specific configs.,Contemporary,Common in call center environments.,Detection via IVR script files.
Gigaspace,In-memory computing platform for real-time analytics and processing.,Technology (Data Grid),Yes,Direct,".java, .xml",Yes,Look for com.gigaspaces imports and configs.,Contemporary,Used for real-time distributed computing.,Validation via dependency analysis.
GLOSS,Legacy mainframe-based banking system for global settlements.,Technology (Banking Software),Partial,Inferred,".cob, .cfg",Yes,Detect references to GLOSS-specific schemas or COBOL programs.,Legacy,Largely replaced by modern banking systems.,Detection relies on COBOL code and configs.
Greenplum,Open-source massively parallel data warehouse for analytics.,Technology (Database),Yes,Direct,".sql, .conf",Yes,Detect GP-specific SQL commands or configs.,Contemporary,Popular in large-scale analytics environments.,Detection via SQL dialect markers.
Groovy,Dynamic programming language for the JVM often used in automation scripts.,Language,Yes,Direct,.groovy,No,Detect Groovy syntax and Gradle build scripts.,Contemporary,Widely used in DevOps and automation pipelines.,Easy detection via extension and keywords.
Grunt,JavaScript task runner for automating web development workflows.,Tool (Automation),Yes,Direct,Gruntfile.js,No,Detect Gruntfile.js and task definitions.,Legacy,Largely replaced by modern JS build tools like Gulp/Webpack.,Detection straightforward via file presence.
Guardium,IBM security tool for database activity monitoring and compliance.,Tool (Security),Partial,Inferred,".xml, .cfg",Yes,Detect Guardium policy configs or audit scripts.,Contemporary,Widely used for DB compliance and auditing.,Validation via proprietary configs.
GWT (Google Web Toolkit),Development toolkit for building browser-based apps in Java and compiling to JavaScript.,Framework (Web),Yes,Direct,.java,Yes,Detect GWT-specific packages like com.google.gwt in code.,Legacy,Largely replaced by modern JS frameworks.,Validation through package imports.
Hadoop,Open-source framework for distributed storage and processing of large datasets.,Technology (Big Data),Yes,Direct,".xml, .conf",Yes,"Detect core-site.xml, hdfs-site.xml, or Hadoop CLI usage.",Contemporary,Still foundational for big-data ecosystems.,Easy validation via config files.
HDFS,Hadoop Distributed File System for large-scale data storage.,Technology (Big Data),Yes,Direct,".xml, .conf",Yes,Look for hdfs-site.xml configs and hdfs:// paths in code.,Contemporary,Core component of Hadoop.,Detection via configuration files.
Hibernate,Object-Relational Mapping (ORM) framework for Java.,Framework (ORM),Yes,Direct,".java, .xml",Yes,Detect org.hibernate imports and hibernate.cfg.xml.,Contemporary,Still widely used in enterprise apps.,Validation via dependency scanning.
Hive,Data warehouse infrastructure on Hadoop for SQL-based queries.,Technology (Big Data),Yes,Direct,".hql, .sql",No,Presence of HiveQL scripts or Hive-specific configs.,Contemporary,Used for big-data analytics.,Easy detection via query language.
HP Exstream,Document automation software for generating customer communications.,Tool (Document Management),Partial,Inferred,".cfg, .xml",Yes,Detect Exstream configuration files or templates.,Legacy,Replaced by modern CCM solutions in many firms.,Detection depends on proprietary files.
HP LoadRunner,Performance testing tool for simulating user loads and measuring system performance.,Tool (Testing),Partial,Inferred,".lrs, .usr",No,Presence of LoadRunner scripts and scenarios.,Contemporary,Still used in large-scale performance testing.,Validation via proprietary script formats.
Hyperion,Oracle’s financial planning and budgeting tool with OLAP capabilities.,Technology (Finance),Partial,Inferred,".xml, .csc",Yes,Detect Hyperion-specific configs or calc scripts.,Legacy,Being replaced by cloud-based EPM tools.,Validation through proprietary files.
IBM AppScan,"Security testing tool for web applications, focusing on vulnerabilities.",Tool (Security),Partial,Inferred,".xml, .json",Yes,Detect AppScan scan reports and configurations.,Contemporary,Still used for application security testing.,Validation via scan output or configs.
IBM Basic Assembler,Low-level assembly language for IBM mainframe systems.,Language,Yes,Direct,.asm,No,Detect assembler instructions and macros.,Legacy,Still present in legacy mainframe environments.,Detection straightforward via syntax.
IBM BPM,Business Process Management platform for automating workflows and process orchestration.,Technology (BPM),Yes,Direct,".bpmn, .xml",No,Detect IBM BPM-specific process models and configs.,Contemporary,Widely used for enterprise workflow automation.,Easy detection via BPMN and IBM-specific configs.
IBM Build Forge,Build automation tool for managing software delivery pipelines.,Tool (DevOps),Partial,Inferred,".xml, .cfg",Yes,Detect Build Forge project and engine configs.,Legacy,Replaced by modern CI/CD tools.,Detection through proprietary configs.
IBM Business Activity Monitor,Real-time monitoring and analytics for business processes.,Tool (Monitoring),Partial,Inferred,".xml, .json",Yes,Detect configs for activity monitoring dashboards.,Legacy,Declining usage as analytics platforms evolved.,Detection relies on proprietary config files.
IBM Business Glossaries,"Tool for managing business terms, metadata, and governance policies.",Tool (Metadata),Partial,Inferred,".xml, .json",Yes,Look for IBM-specific metadata glossary schemas.,Legacy,Superseded by modern governance tools.,Detection through exported glossary files.
IBM ClearQuest,Change and configuration management tool for software development.,Tool (ALM),Partial,Inferred,".xml, .cfg",Yes,Detect ClearQuest schema files or configs.,Legacy,Largely replaced by Jira and similar tools.,Validation through proprietary files.
IBM Connections,Enterprise collaboration platform for social networking and content sharing.,Tool (Collaboration),Partial,Inferred,".xml, .cfg",Yes,Detect configs referencing IBM Connections APIs.,Legacy,Declining as companies move to Microsoft 365 or Slack.,Detection through integration files.
IBM Content Collector,Tool for archiving emails and files into enterprise content repositories.,Tool (Archiving),Partial,Inferred,".xml, .cfg",Yes,Detect archiving policies and connectors in configs.,Legacy,Modern ECM platforms integrate these capabilities.,Proprietary; detection through configs.
IBM Content Management On Demand (CMOD),Solution for storing and retrieving high-volume content like statements and reports.,Technology (ECM),Partial,Inferred,".xml, .cfg",Yes,Detect CMOD resource manager configs.,Contemporary,Still widely used in financial services for archiving.,Detection depends on proprietary files.
IBM Content Manager,Enterprise content management solution for document lifecycle management.,Technology (ECM),Partial,Inferred,".xml, .cfg",Yes,Detect CM-specific schemas and API references.,Legacy,Replaced by modern ECM platforms in many enterprises.,Detection relies on integration scripts.
IBM ESB,IBM Enterprise Service Bus for integrating and routing enterprise services.,Technology (Integration),Yes,Direct,".xml, .msgflow",Yes,Detect message flows or IBM ESB-specific configs.,Legacy,Superseded by IBM Integration Bus and API Connect.,Detection possible via message flow files.
IBM IFW (Information Framework),A financial services data model and framework by IBM for standardization.,Concept,No,Not Applicable,N/A,N/A,N/A,Legacy,Mostly replaced by modern data frameworks.,Cannot be validated via code.
IBM iLog/ODM (Operational Decision Manager),Business rule management platform for automating operational decisions.,Tool (BRMS),Yes,Direct,".drl, .xml",Yes,Detect ODM decision tables and iLog rules.,Contemporary,Actively used for business rule automation.,Detection via decision artifacts in repos.
IBM InfoSphere DataStage,ETL tool for large-scale data integration and transformation.,Tool (ETL),Yes,Direct,.dsx,No,Detect .dsx export files with DataStage job definitions.,Contemporary,Still widely adopted for enterprise ETL processes.,Validation through export formats.
IBM Infosphere Suite - Fasttrack,Tool for mapping and documenting data integration requirements.,Tool (Data Mapping),Partial,Inferred,".xml, .csv",Yes,Detect Infosphere Fasttrack mappings in configs.,Legacy,Declining adoption due to integrated data governance tools.,Detection relies on exported mapping files.
IBM Infosphere Suite - Information Analyzer,Tool for analyzing and profiling enterprise data quality.,Tool (Data Quality),Partial,Inferred,".xml, .json",Yes,Detect Analyzer-specific reports and configs.,Contemporary,Still used in Infosphere ecosystems.,Validation via proprietary reports.
IBM Infosphere Suite - Metadata Workbench,Metadata management and governance component of Infosphere.,Tool (Metadata),Partial,Inferred,".xml, .json",Yes,Detect metadata lineage exports or configs.,Legacy,Being phased out in favor of modern tools.,Proprietary; detection via metadata export files.
IBM Integration Bus (IIB)/IBM WebSphere Message Broker,"Middleware for message routing, transformation, and integration.",Technology (Integration),Yes,Direct,".msgflow, .xml",Yes,Detect message flows and BAR files.,Contemporary,Still common in integration-heavy architectures.,Detection straightforward via message flow artifacts.
IBM Master Data Management (MDM),Platform for consolidating and managing master data entities.,Technology (Data Management),Partial,Inferred,".xml, .cfg",Yes,Detect MDM workflows or configs in integration projects.,Contemporary,Widely used for enterprise data governance.,Detection through proprietary configs.
IBM MetaData Tool,IBM’s metadata repository for lineage and governance.,Tool (Metadata),Partial,Inferred,".xml, .json",Yes,Detect exported metadata lineage in proprietary format.,Legacy,Replaced by modern governance solutions.,Detection limited to specialized files.
IBM Optim Archive & Implementation Engg,Data archiving and lifecycle management solution from IBM.,Tool (Archiving),Partial,Inferred,".xml, .cfg",Yes,Detect Optim archive definitions and policies.,Legacy,Declining as cloud-native archive solutions dominate.,Detection through proprietary configs.
IBM PIM (Privileged Identity Manager),IBM solution for privileged account security and access control.,Tool (Security),Partial,Inferred,".xml, .cfg",Yes,Detect PIM policy files and configs.,Contemporary,Still used in enterprise IAM strategies.,Detection limited to proprietary files.
IBM Q Radar,IBM’s SIEM (Security Information and Event Management) platform for threat detection.,Tool (Security),Partial,Inferred,".xml, .json",Yes,Detect QRadar rule configs or log parser settings.,Contemporary,Common in security operations centers.,Validation through config analysis.
IBM Rational Software Architect,"Design and modeling tool for software architecture, supporting UML and model-driven development.",Tool (Modeling),Partial,Inferred,".emx, .uml",Yes,Detect UML model files and IBM-specific schemas.,Legacy,Superseded by modern modeling platforms.,Validation through exported diagrams.
IBM RIT (Rational Integration Tester),Service virtualization and API testing tool.,Tool (Testing),Yes,Direct,".rit, .xml",Yes,Detect RIT project files or test suites.,Contemporary,Still used for integration testing.,Detection through proprietary file types.
IBM uBuild,Build automation solution as part of IBM UrbanCode suite.,Tool (DevOps),Partial,Inferred,".xml, .json",Yes,Detect uBuild configs in CI/CD pipelines.,Legacy,Largely replaced by modern CI tools.,Validation via integration files.
IBM uDeploy,Deployment automation tool for managing releases across environments.,Tool (DevOps),Yes,Direct,".xml, .json",Yes,Detect UrbanCode Deploy process configs.,Contemporary,Common in large-scale deployment automation.,Validation through pipeline scripts.
IBM WBE (WebSphere Business Events),Event-driven processing platform for real-time business insights.,Tool (Integration),Partial,Inferred,".xml, .cfg",Yes,Detect WBE-specific event processing definitions.,Legacy,Declining usage in favor of Kafka and modern event platforms.,Detection limited to configs.
IBM WCC (WebSphere Customer Center),Master Data Management hub for customer data.,Technology (MDM),Partial,Inferred,".xml, .cfg",Yes,Detect WCC schema definitions and configs.,Legacy,Superseded by modern MDM systems.,Validation via proprietary integration files.
IBM WebSphere Operational Decision Management (WODM),Rules engine and decision automation platform for business applications.,Tool (BRMS),Yes,Direct,".xml, .drl",Yes,Detect decision artifacts and WODM-specific APIs.,Contemporary,Still relevant in enterprise rule automation.,Detection via dependency scans.
IBM WebSphere Process Server,Middleware for orchestrating and managing business processes in SOA.,Technology (Integration/BPM),Partial,Inferred,".xml, .bpel",Yes,Detect BPEL workflows and IBM-specific configs.,Legacy,Superseded by IBM BPM and modern workflow engines.,Detection relies on BPEL artifacts.
IBM WMB (WebSphere Message Broker),Middleware for message routing and transformation in SOA environments.,Technology (Integration),Yes,Direct,".msgflow, .xml",Yes,Detect message flow files and BAR packages.,Legacy,Superseded by IBM Integration Bus and App Connect.,Detection through message flow artifacts.
IBM WSRR (WebSphere Service Registry and Repository),Governance and lifecycle management tool for SOA services.,Tool (Governance),Partial,Inferred,".xml, .cfg",Yes,Detect WSRR-specific registry configurations.,Legacy,Rarely used due to microservices adoption.,Validation depends on configs.
iLOG,IBM’s business rules management platform (merged into ODM).,Tool (BRMS),Yes,Direct,".drl, .xml",Yes,Detect iLOG rule files and API references.,Legacy,Superseded by IBM ODM.,Detection through rule artifacts.
IM5DB,Proprietary banking database system used in legacy environments.,Technology (Database),Partial,Inferred,".sql, .cfg",Yes,Detect IM5-specific SQL dialect and configs.,Legacy,Limited to legacy banking infrastructure.,Proprietary; detection relies on scripts.
Informatica,Leading ETL tool for data integration and transformation.,Tool (ETL),Yes,Direct,".xml, .dtml",Yes,Detect Informatica mapping XML files or workflows.,Contemporary,Still widely adopted in enterprise data platforms.,Validation via exported workflows.
Informatica MDM RE (Identity Resolution),Informatica component for Master Data Management and identity matching.,Technology (MDM),Partial,Inferred,".xml, .cfg",Yes,Detect MDM-specific configs for entity resolution.,Contemporary,Actively used in enterprise data governance.,Detection through configs.
Information architecture,Practice of organizing and structuring data and content logically.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Core discipline in UX and data management.,Cannot be validated in code.
Informix,IBM’s relational database for OLTP and analytics.,Technology (Database),Yes,Direct,".sql, .cfg",Yes,Detect Informix-specific syntax or JDBC drivers.,Legacy,Usage declining as modern DBs replace it.,Validation through SQL and config analysis.
Interwoven,Enterprise content management solution for web content delivery.,Technology (CMS),Partial,Inferred,".xml, .cfg",Yes,Detect Interwoven TeamSite templates and configs.,Legacy,Superseded by modern CMS platforms.,Detection relies on proprietary templates.
iOS,Mobile operating system developed by Apple for iPhone and iPad applications.,Technology (OS),Yes,Direct,".swift, .m",Yes,Detect Swift/Objective-C code for iOS apps.,Contemporary,Core for mobile app development.,Detection via language-specific files.
jBPM,Open-source workflow engine for business process management in Java applications.,Technology (BPM),Yes,Direct,".bpmn, .java",No,Detect jBPM-specific APIs and BPMN process files.,Contemporary,Popular in lightweight workflow automation.,Easy detection via BPMN diagrams and API usage.
Jrules developer,Developer specializing in IBM ILOG JRules for rule-based systems.,Role,No,Not Applicable,N/A,N/A,N/A,Legacy,Superseded by IBM ODM.,Role cannot be validated in code.
KDB (Kx Systems),High-performance columnar time-series database used in financial services.,Technology (Database),Yes,Direct,.q,No,Detect q scripts with KDB+ specific syntax.,Contemporary,Still widely used in trading and analytics.,Validation straightforward via .q files.
Kofax,Intelligent automation platform for document processing and RPA.,Tool (Automation),Partial,Inferred,".xml, .cfg",Yes,Detect Kofax process configs or bot definitions.,Contemporary,Common in document-driven workflows.,Detection relies on proprietary configs.
Lectora (eLearning Technology),Authoring tool for creating interactive eLearning content.,Tool (E-learning),No,Not Applicable,".awt, .html",No,Presence of Lectora project files (.awt).,Contemporary,Widely used in e-learning solutions.,Detection based on file extensions.
Life Ray,Open-source enterprise portal platform for web apps and collaboration.,Technology (Portal),Yes,Direct,".jsp, .java",Yes,Detect Liferay-specific packages or portal-ext.properties.,Contemporary,Popular in enterprise portal development.,Easy validation through config and code.
Lombardi,"BPM platform acquired by IBM, now part of IBM BPM.",Technology (BPM),Partial,Inferred,".bpmn, .xml",Yes,Detect Lombardi-specific BPMN tags or configs.,Legacy,Integrated into IBM BPM stack.,Detection depends on proprietary artifacts.
Mahout,Machine learning library built on Hadoop for scalable algorithms.,Technology (AI/ML),Yes,Direct,".java, .scala",Yes,Detect org.apache.mahout packages or configs.,Legacy,Declining after Spark MLlib gained popularity.,Validation via dependency analysis.
MapReduce,Programming model for distributed processing in Hadoop.,Technology (Big Data),Yes,Direct,".java, .py",Yes,Detect MapReduce job classes implementing Mapper and Reducer.,Legacy,Largely replaced by Apache Spark.,Detection through job classes.
Mark IV,Legacy report generation tool used in mainframe systems.,Tool (Reporting),Yes,Direct,".mk4, .txt",No,Detect Mark IV control statements in files.,Legacy,Phased out in favor of modern reporting systems.,Easy detection via proprietary syntax.
McAfee End Point Security,Endpoint protection platform for malware prevention and data security.,Tool (Security),No,Not Applicable,N/A,N/A,N/A,Contemporary,Essential in enterprise security environments.,Cannot be validated via code.
Metacenter,Metadata management platform for organizing and governing enterprise data.,Tool (Metadata),Partial,Inferred,".xml, .json",Yes,Detect Metacenter-specific metadata exports.,Legacy,Superseded by modern governance tools.,Proprietary; detection depends on exported files.
Metamatrix,Data integration tool for virtualizing data sources and metadata.,Tool (Data Integration),Partial,Inferred,".xml, .json",Yes,Detect Metamatrix configs and connector definitions.,Legacy,"Rarely used today, replaced by advanced tools.",Detection depends on legacy files.
Metric Stream,"Governance, Risk, and Compliance (GRC) platform for enterprises.",Tool (GRC),Partial,Inferred,".xml, .json",Yes,Detect Metric Stream integration configs.,Contemporary,Popular for enterprise risk management.,Validation limited to proprietary scripts.
Microstrategy,"BI and analytics platform for reporting, dashboards, and mobile analytics.",Tool (BI),Yes,Direct,".mstr, .xml",Yes,Detect Microstrategy-specific object files or APIs.,Contemporary,Still a major player in BI ecosystems.,Detection via exported project files.
Mobile Device Infrastructure,Technology stack for managing enterprise mobile devices (MDM solutions).,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Important for security and device management.,Not code-detectable; operational concept.
MS BI (Microsoft Business Intelligence),"Microsoft BI suite (SSIS, SSRS, SSAS) for ETL, reporting, and analytics.",Tool (BI),Yes,Direct,".dtsx, .rdl, .xml",No,"Detect SSIS packages, SSRS reports, or SSAS configs.",Contemporary,Widely used in enterprises for reporting.,Easy validation via proprietary extensions.
MS Dynamic CRM,Microsoft’s customer relationship management platform.,Technology (CRM),Yes,Direct,".xml, .cs",Yes,Detect CRM-specific assemblies or configs.,Contemporary,Common for customer engagement solutions.,Validation through solution files and plugins.
Mule ESB,"Integration framework for connecting applications, APIs, and data.",Technology (Integration),Yes,Direct,".xml, .java",Yes,Detect Mule flows and configurations in XML.,Contemporary,Core in modern API-driven integrations.,Detection straightforward via Mule config files.
NAS (Network Attached Storage),Network storage system for shared file access.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Common in enterprise IT for shared storage.,Cannot be validated in code.
Netezza,"Data warehouse appliance for high-performance analytics, now part of IBM PureData.",Technology (Database),Yes,Direct,".sql, .cfg",Yes,"Detect Netezza-specific SQL commands (NZLOAD, NZSQL).",Legacy,Gradually replaced by cloud data warehouses.,Validation via SQL scripts.
NICE,Workforce management and analytics solution for call centers and customer engagement.,Tool (Analytics),Partial,Inferred,".xml, .cfg",Yes,Detect NICE-specific configuration files or APIs.,Contemporary,Common in contact center analytics.,Detection relies on proprietary configs.
Node.JS,JavaScript runtime for building scalable server-side applications.,Technology (Runtime),Yes,Direct,".js, package.json",No,Detect presence of package.json and node modules.,Contemporary,Core to modern web development.,Easy validation via Node.js project structure.
NoSQL DB,"General category for non-relational databases like MongoDB, Cassandra, Couchbase.",Concept,Yes,Inferred,".json, .conf",Yes,Look for NoSQL-specific drivers or schema-less DB references.,Contemporary,Essential for scalable modern applications.,Detection requires pattern matching.
OBIEE (Oracle Business Intelligence Enterprise Edition),Oracle’s BI platform for reporting and dashboards.,Tool (BI),Partial,Inferred,".rpd, .xml",Yes,Detect OBIEE repository files or configs.,Legacy,Being replaced by Oracle Analytics Cloud.,Validation through proprietary files.
OBPM (Oracle Business Process Management),Oracle’s BPM platform for workflow automation.,Technology (BPM),Yes,Direct,".bpmn, .xml",No,Detect BPMN processes specific to OBPM.,Legacy,Superseded by Oracle Process Cloud Service.,Validation through BPMN workflows.
OHRMS (Oracle HRMS),Oracle’s human resource management solution for enterprise HR processes.,Technology (ERP),Partial,Inferred,".sql, .xml",Yes,Detect HRMS-specific schemas or API integrations.,Legacy,Migrating to Oracle Cloud HCM.,Validation via schema references.
Oozie,Workflow scheduler system to manage Hadoop jobs.,Tool (Scheduler),Yes,Direct,.xml,No,Detect workflow.xml and Oozie job properties.,Contemporary,Common in big-data pipelines.,Detection via job definition files.
OpenLink Endur,Commodity trading and risk management platform.,Technology (Trading),Partial,Inferred,".xml, .json",Yes,Detect Endur API calls or integration configs.,Contemporary,Widely used in energy and commodities markets.,Validation through integration scripts.
OpenText (Vignette) - Enterprise Content Management,ECM platform for managing unstructured content.,Technology (ECM),Partial,Inferred,".xml, .cfg",Yes,Detect OpenText/Vignette-specific configs.,Legacy,Replaced by OpenText Content Suite.,Validation relies on proprietary files.
OpenVMS,"Multi-user, multitasking operating system for mission-critical applications.",Technology (OS),No,Not Applicable,N/A,N/A,N/A,Legacy,Still used in critical infrastructure but largely obsolete.,Cannot validate in code repositories.
Optim,IBM tool for data archiving and application retirement.,Tool (Archiving),Partial,Inferred,".xml, .cfg",Yes,Detect Optim archive definitions in configs.,Legacy,Replaced by modern archiving solutions.,Validation through proprietary files.
Oracle ADF (Application Development Framework),Java EE framework for building enterprise applications.,Framework,Yes,Direct,".xml, .java",Yes,Detect ADF Faces tags or oracle.adf libraries.,Contemporary,Used in Oracle-based enterprise apps.,Easy detection via configs and libraries.
Oracle BPM,Business Process Management platform for modeling and automating processes.,Technology (BPM),Yes,Direct,".bpmn, .xml",No,Detect Oracle BPM process definitions in BPMN format.,Contemporary,Common in Oracle enterprise suites.,Validation through BPMN artifacts.
Oracle EXADATA,Engineered system for high-performance database workloads.,Technology (Database Appliance),No,Not Applicable,N/A,N/A,N/A,Contemporary,Specialized hardware-software stack.,Cannot be validated through code.
ORACLE FINANCIAL,ERP solution for managing financial processes and accounting.,Technology (ERP),Partial,Inferred,".sql, .xml",Yes,Detect references to Oracle Financial schemas or API calls.,Contemporary,Widely used in large enterprises.,Detection through schema-level analysis.
Oracle Flexcube,Core banking platform for retail and corporate banking.,Technology (Banking Software),Partial,Inferred,".xml, .java",Yes,Detect Flexcube API calls and config files.,Contemporary,Leading banking solution globally.,Validation depends on proprietary files.
Oracle GoldenGate,Real-time data replication and integration solution.,Tool (Data Integration),Yes,Direct,".prm, .xml",Yes,Detect GoldenGate parameter (.prm) files.,Contemporary,Common in large-scale data migrations.,Easy detection via proprietary file formats.
Oracle Identity Management,Suite for managing identity and access in enterprise systems.,Tool (Security),Partial,Inferred,".xml, .cfg",Yes,Detect OIM configurations in XML files.,Contemporary,Essential in Oracle security frameworks.,Validation through integration configs.
Oracle Webcenter,Enterprise portal and content management platform from Oracle.,Technology (Portal),Yes,Direct,".jsp, .xml",Yes,Detect WebCenter-specific APIs and templates.,Legacy,Replaced by Oracle Content and Experience Cloud.,Validation possible via template configs.
